promo_id,transaction_id,product_id,store_id,date,discount_pct,promo_type
PRM0000001,TXN00000001,P001,S001,2023-01-01,0.06,Festival
PRM0000002,TXN00000002,P001,S001,2023-01-02,0.26,Clearance
PRM0000003,TXN00000010,P001,S001,2023-01-10,0.17,Festival
PRM0000004,TXN00000021,P001,S001,2023-01-21,0.23,Seasonal
PRM0000005,TXN00000022,P001,S001,2023-01-22,0.23,Seasonal
PRM0000006,TXN00000023,P001,S001,2023-01-23,0.38,Flash Sale
PRM0000007,TXN00000032,P001,S001,2023-02-01,0.28,Seasonal
PRM0000008,TXN00000034,P001,S001,2023-02-03,0.06,Seasonal
PRM0000009,TXN00000056,P001,S001,2023-02-25,0.21,Clearance
PRM0000010,TXN00000061,P001,S001,2023-03-02,0.19,Festival
PRM0000011,TXN00000064,P001,S001,2023-03-05,0.39,Clearance
PRM0000012,TXN00000066,P001,S001,2023-03-07,0.38,Clearance
PRM0000013,TXN00000070,P001,S001,2023-03-11,0.22,Clearance
PRM0000014,TXN00000073,P001,S001,2023-03-14,0.38,Seasonal
PRM0000015,TXN00000074,P001,S001,2023-03-15,0.27,Seasonal
PRM0000016,TXN00000076,P001,S001,2023-03-17,0.33,Seasonal
PRM0000017,TXN00000079,P001,S001,2023-03-20,0.34,Clearance
PRM0000018,TXN00000088,P001,S001,2023-03-29,0.39,Clearance
PRM0000019,TXN00000092,P001,S001,2023-04-02,0.22,Flash Sale
PRM0000020,TXN00000093,P001,S001,2023-04-03,0.31,Clearance
PRM0000021,TXN00000095,P001,S001,2023-04-05,0.08,Festival
PRM0000022,TXN00000096,P001,S001,2023-04-06,0.23,Seasonal
PRM0000023,TXN00000100,P001,S001,2023-04-10,0.22,Seasonal
PRM0000024,TXN00000106,P001,S001,2023-04-16,0.37,Seasonal
PRM0000025,TXN00000112,P001,S001,2023-04-22,0.21,Festival
PRM0000026,TXN00000114,P001,S001,2023-04-24,0.15,Clearance
PRM0000027,TXN00000117,P001,S001,2023-04-27,0.06,Clearance
PRM0000028,TXN00000120,P001,S001,2023-04-30,0.1,Flash Sale
PRM0000029,TXN00000131,P001,S001,2023-05-11,0.17,Flash Sale
PRM0000030,TXN00000136,P001,S001,2023-05-16,0.27,Festival
PRM0000031,TXN00000138,P001,S001,2023-05-18,0.1,Seasonal
